OperatorRef,LineName,JourneyRef
TFLO,83,333273
BNGN,35,1057
SCMN,171,7014
FHAL,590,2050
SCMY,1,141
SCNE,62,107
TFLO,216,542382
DIAM,27A,39
TFLO,188,533952
FDOR,2,20
FECS,8,106
TFLO,267,294458
SCMY,59,31
TNXB,39,198
TFLO,38,380399
ACYM,12,1131
FHAM,3,120
SNDR,29A,1645
OXBC,5,4167
NT,71B,NT71B-Out-54070-NT3390T3-2024-02-12T17:20:00-2024-02-12
ARBB,F70,1133
MRDL,90,VJ_12
WBTR,20,7693
TNXB,4M,320
SCEM,12,46
METR,93,30
ARBB,757,1059
TFLO,2,76072
BHBC,12A,259
TFLO,2,75828
TFLO,425,476577
TFLO,382,357055
TFLO,232,416164
PBLT,6,2055
FPOT,11,1755
DIAM,4H,266
WDBC,13,2011
AKSS,101,1106
